Name, Group, MainNote1, MainNote2, MainNote3, Season, Time, Longevity, Sillage, Rate, Count
Purple Amethyst Armaf for women,Floral Woody Musk,Rose,Litchi,Lemon,Fall/Winter,All Time,long lasting,heavy,3.64,12
Red Ruby Armaf for women,Oriental Floral,Vanilla,Litchi,Mandarin Orange,Fall/Winter,All Time,long lasting,heavy,4.62,15
Sapphire Armaf for women and men,Aromatic Spicy,Watery Notes,Ambergris,Grapefruit,All Season,Day,moderate,heavy,2.50,3
White Diamond Armaf for men,Woody Floral Musk,Cardamom,Ylang-Ylang,Tuberose,Spring/Summer,Day,moderate,heavy,3.86,25
Bois Luxura Armaf for men,Woody,Lavender,Basil,Vetiver,All Season,All Time,moderate,moderate,3.75,18
Bois Nuit Armaf for men,Aromatic Spicy,Cinnamon,Patchouli,Vanilla,Fall/Winter,All Time,long lasting,heavy,4.15,32
Club De Nuit Armaf for women,Floral Fruity,Patchouli,Rose,Vanilla,All Season,All Time,long lasting,heavy,4.51,107
Club de Nuit Intense Armaf for women,Chypre Floral,Rose,Patchouli,Saffron,Fall/Winter,Night,long lasting,heavy,4.24,518
Club de Nuit Intense Man Armaf for men,Woody Spicy,Lemon,Birch,Pineapple,All Season,All Time,long lasting,heavy,4.34,1794
Club De Nuit Man Armaf for men,Woody Spicy,Amber,Cloves,Cinnamon,All Season,All Time,moderate,moderate,3.80,90
Club de Nuit Urban Man Armaf for men,Woody Spicy,Patchouli,Nutmeg,Bergamot,All Season,All Time,moderate,heavy,2.13,29
De La Marque Brune Armaf for men,Oriental Fougere,Cinnamon,Black Pepper,Sea Notes,Spring/Summer,Day,moderate,moderate,3.90,56
De La Marque Gold Armaf for women,Oriental Floral,Musk,iris,Labdanum,Fall/Winter,All Time,moderate,heavy,3.80,12
De La Marque Rouge Armaf for women,Floral Fruity,Tuberose,Orange Blossom,Amber,All Season,Day,moderate,heavy,4.13,10
Derby Club House Armaf for men,Woody Aromatic,Lavender,Spicy Notes,White Amber,All Season,Day,moderate,heavy,3.03,40
Derby Club House Ascot Armaf for men,Oriental Woody,Amber,Tobacco,Oakmoss,Fall/Winter,All Time,long lasting,heavy,4.24,59
Derby Club House Belmont Armaf for men,Woody Spicy,Orange,Vetiver,Benzoin,All Season,Day,long lasting,heavy,4.33,50
Derby Club House Blanche Armaf for men,Aromatic Aquatic,Black Currant,Green Tea,Orange,Spring/Summer,Day,moderate,moderate,4.18,157
Derby Club House Fairmount Armaf for women,Floral Fruity,Peach,Mango,Litchi,Spring/Summer,Day,moderate,heavy,4.00,10
Derby Club House Gold Armaf for women,Oriental Floral,Vanilla,Heliotrope,Black Currant,All Season,Day,long lasting,heavy,3.63,13
Derby Club House Gold Men Armaf for men,Woody Spicy,Red Apple,Pineapple,Amber,All Season,All Time,moderate,heavy,3.67,21
Derby Club House Santa Anita Armaf for women,Floral Woody Musk,Lime,Jasmine,Freesia,Summer,Day,moderate,moderate,3.71,7
Edition One Armaf for women,Floral Fruity,Jasmine,Honey,Gardenia,All Season,Day,moderate,heavy,4.29,20
Edition One Men Armaf for men,Woody Aromatic,Sage,Lavender,Bergamot,Spring/Summer,Day,long lasting,moderate,3.89,42
Eternia Man Armaf for men,Oriental Spicy,Black Pepper,Sage,Cypress,All Season,All Time,very long lasting,heavy,4.67,3
Eternia Women Armaf for women,Oriental Floral,Tonka Bean,Vanilla,Almond,Fall/Winter,All Time,moderate,heavy,4.67,6
Futura La Homme Armaf for women and men,Aromatic Fougere,iris,Lavender,Coffee,All Season,All Time,moderate,heavy,4.09,57
Futura La Homme Intense Armaf for men,Aromatic Spicy,Sage,Cinnamon,Grapefruit,Spring/Summer,Night,moderate,heavy,3.21,22
High Street Armaf for women,Floral Woody Musk,Magnolia,Honeysuckle,Cashmere Wood,Fall/Winter,Night,moderate,heavy,4.20,10
High Street Midnight Armaf for women,Floral Fruity,Osmanthus,Blood Orange,Honeysuckle,All Season,Night,long lasting,heavy,3.38,12
Hunter Armaf for women,Oriental Vanilla,Green Almond,Jasmine,Sandalwood,Fall/Winter,Day,long lasting,heavy,3.53,19
Hunter Men Armaf for men,Woody Floral Musk,Grapefruit,Cedar Needles,Sandalwood,Spring/Summer,Day,long lasting,heavy,4.07,61
iDiva Armaf for women,Floral Woody Musk,Honey,Jasmine,Ylang-Ylang,Winter,Night,long lasting,heavy,2.75,6
iDiva Noir Armaf for women,Chypre Floral,Sandalwood,Patchouli,Rose,All Season,All Time,long lasting,heavy,4.06,21
iDivo Armaf for men,Woody Spicy,Cassis,Black Currant,Musk,Spring/Summer,All Time,moderate,heavy,3.84,27
Italiano Donna Armaf for women,Floral Woody Musk,Tonka Bean,Vanilla,Mandarin Orange,Fall/Winter,All Time,long lasting,heavy,4.11,54
Italiano Nero Armaf for men,Woody Aromatic,Lemon,Amber,Bergamot,All Season,All Time,moderate,moderate,3.97,37
Italiano Uomo Armaf for men,Oriental Fougere,Violet,Basil,Pepper,All Season,Day,moderate,heavy,3.15,29
Italiano Vivo Armaf for women,Floral Woody Musk,Raspberry,Peony,Rose,Spring/Summer,Day,moderate,heavy,4.59,18
Just For You Pour Homme Armaf for men,Woody Spicy,Olibanum,Leather,Pink Pepper,All Season,All Time,moderate,moderate,4.61,18
Katarina Blush Armaf for women,Chypre Floral,Lily-of-the-Valley,Oakmoss,Floral Notes,Spring/Summer,All Time,moderate,moderate,3.33,3
Katarina Leaf Armaf for women,Floral Woody Musk,Musk,Neroli,Grapefruit,All Season,Day,moderate,heavy,4.00,3
Katarina Light Blue Armaf for women,Floral Woody Musk,Heliotrope,Vanilla,Cashmeran,Fall,Day,moderate,heavy,4.20,5
Le Parfait Pour Femme Armaf for women,Chypre Floral,Jasmine,Neroli,Honeysuckle,Spring/Summer,Day,moderate,heavy,3.80,5
Le Parfait Pour Homme Armaf for men,Oriental,Black Currant,Pineapple,Musk,Spring/Summer,Day,moderate,moderate,4.07,138
Legesi Homme Armaf for men,Woody Aromatic,Lavender,Rosemary,Cedar,Spring/Summer,All Time,long lasting,heavy,3.67,3
Magnificent Pour Femme Armaf for women,Chypre Fruity,Rose,Raspberry,Geranium,Fall,Day,moderate,heavy,5.00,1
Opus Femme Armaf for women,Floral Fruity Gourmand,Vanilla,Praline,Patchouli,Fall/Winter,Night,moderate,heavy,4.00,2
Opus Homme Armaf for men,Oriental Spicy,Lemon,Lavender,Tonka Bean,All Season,Night,long lasting,moderate,3.64,13
Paraty Men Armaf for men,Oriental Woody,Passionfruit,Amber,Spicy Notes,All Season,Night,moderate,heavy,3.83,22
Paraty Women Armaf for women,Oriental Floral,Jasmine,Tuberose,Sandalwood,Winter,All Time,weak,heavy,3.00,4
Shades Armaf for men,Chypre,Violet Leaf,Bergamot,Pineapple,All Season,All Time,moderate,heavy,4.03,36
Shades Wood Armaf for men,Woody Spicy,Agarwood (Oud),Rose,Cedar,Fall/Winter,Night,long lasting,heavy,3.68,170
Signature Night Armaf for men,Leather,Tonka Bean,Leather,Spices,Fall,Night,long lasting,heavy,4.75,5
Signature True Armaf for women and men,Oriental Vanilla,Vanilla,Caramel,Strawberry,Fall/Winter,Night,moderate,heavy,4.73,33
Skin Couture Classic Men Armaf for men,Woody Aromatic,Sandalwood,Nutmeg,Ginger,All Season,All Time,very long lasting,heavy,3.00,3
Skin Couture Gold Armaf for women,Floral Fruity,Orange Blossom,Vanilla,Peach,All Season,All Time,poor,moderate,4.00,1
Skin Couture Gold Men Armaf for men,Woody Floral Musk,Cedar Needles,Cardamom,Grapefruit,All Season,Night,weak,moderate,2.50,2
Skin Couture Men Armaf for men,Oriental Fougere,Galbanum,Lavender,Artemisia,All Season,All Time,long lasting,heavy,3.00,2
Skin Couture Signature Armaf for women,Floral Woody Musk,Violet Leaf,White Woods,Green Notes,All Season,All Time,moderate,moderate,3.00,2
Skin Couture Sport Armaf for men,Citrus Aromatic,Watery Notes,Aldehydes,Herbal Notes,All Season,All Time,moderate,enormous,1.00,3
Skin Couture Summer Pink Armaf for women,Floral Fruity,Passionfruit,Raspberry,Tuberose,Spring/Summer,Day,very long lasting,enormous,2.50,4
Tag-Her Armaf for women,Oriental Floral,Orange Blossom,Vanilla,Caramel,All Season,Day,long lasting,heavy,3.60,49
Tag-Her Prestige Armaf for women,Oriental Floral,Sandalwood,Cinnamon,Orchid,Fall/Winter,Night,long lasting,heavy,4.25,67
Tag-Him Armaf for men,Woody Spicy,Ginger,Grapefruit,Lemon,Spring/Summer,Day,moderate,moderate,4.14,214
Tag-Him Prestige Armaf for men,Oriental Fougere,Lavender,Blood Orange,Cinnamon,All Season,All Time,moderate,moderate,4.22,61
The Pride of Armaf For Women Armaf for women,Oriental Floral,Jasmine,Orange Blossom,Tonka Bean,Fall/Winter,All Time,very long lasting,heavy,4.00,2
Tres Altin Armaf for women,Floral Fruity,Tuberose,Gardenia,Neroli,Fall/Winter,Night,moderate,heavy,4.08,12
Tres Bon Armaf for men,Woody Spicy,Violet,Lavender,Sandalwood,All Season,Day,moderate,heavy,3.40,52
Tres Jour Armaf for women,Floral Woody Musk,White Flowers,Jasmine,Green Tea,Spring/Summer,Day,moderate,heavy,4.04,23
Tres Nuit Armaf for men,Aromatic Spicy,Lemon Verbena,Lavender,Violet,Spring/Summer,Day,moderate,moderate,4.35,728
Vanity Femme Armaf for women,Floral Woody Musk,Lilac,Patchouli,Amber,All Season,Day,moderate,moderate,3.60,11
Vanity Femme Elegance Armaf for women,Floral Fruity,Aldehydes,Tuberose,Gardenia,All Season,Night,moderate,heavy,2.17,8
Vanity Femme Essence Armaf for women,Floral Fruity,Bitter Orange,Freesia,Peach,All Season,Day,moderate,heavy,3.85,15
Vitesse Carbon Armaf for men,Aromatic Spicy,Leather,Violet,Sage,Fall,Night,moderate,heavy,4.75,4
The Warrior Armaf for men,Woody Aromatic,Grapefruit,Ginger,Citruses,Spring/Summer,Day,moderate,heavy,4.04,28
Bergamote Soleil Atelier Cologne for women and men,Citrus Aromatic,Calabrian bergamot,Bitter Orange,Lavender,Spring/Summer,Day,moderate,moderate,4.09,365
Bois Blonds Atelier Cologne for women and men,Oriental Woody,Tunisian Neroli,Woody Notes,Haitian Vetiver,Spring/Summer,Day,moderate,moderate,3.91,385
Cedrat Enivrant Atelier Cologne for women and men,Citrus Aromatic,Citron,Lime,Mint,Spring/Summer,Day,moderate,moderate,4.04,566
Clémentine California Atelier Cologne for women and men,Citrus Aromatic,Clementine,Mandarin Orange,Cypress,Spring/Summer,Day,moderate,moderate,4.11,366
Grand Neroli Atelier Cologne for women and men,Chypre,Neroli,Petitgrain,Amalfi Lemon,Spring/Summer,Day,moderate,moderate,4.10,413
Iris Rebelle Atelier Cologne for women and men,Floral,iris,Lavender,Calabrian bergamot,All Season,Day,moderate,moderate,3.36,110
Mistral Patchouli Atelier Cologne for women and men,Woody Aromatic,Star Anise,Patchouli,Geranium,Spring/Summer,Day,moderate,moderate,3.75,282
Oolang Infini Atelier Cologne for women and men,Woody Aromatic,Tea,Bergamot,Tunisian Neroli,Spring/Summer,Day,moderate,moderate,3.82,396
Orange Sanguine Atelier Cologne for women and men,Citrus,Blood Orange,Bitter Orange,Geranium,Spring/Summer,Day,moderate,moderate,4.17,1451
Oud Saphir Atelier Cologne for women and men,Oriental Woody,Suede,Agarwood (Oud),Birch,Fall/Winter,Night,long lasting,heavy,4.03,291
Pomelo Paradis Atelier Cologne for women and men,Citrus Aromatic,Pink Grapefruit,Calabrian Mandarin,Orange Blossom,Spring/Summer,Day,weak,moderate,4.03,503
Santal Carmin Atelier Cologne for women and men,Oriental Woody,Sandalwood,Saffron,Madagascar Vanilla,Fall/Winter,All Time,moderate,moderate,4.10,500
Trefle Pur Atelier Cologne for women and men,Chypre,Bitter Orange,Clover,Tunisian Neroli,Spring/Summer,Day,moderate,moderate,4.04,396
Ambre Nue Atelier Cologne for women and men,Oriental Floral,Mandarin Orange,French labdanum,Benzoin,Fall/Winter,Day,moderate,moderate,3.47,318
Café Tuberosa Atelier Cologne for women and men,Floral,Coffee,Cacao Pod,Indian Tuberose,Fall/Winter,All Time,moderate,moderate,4.02,344
Jasmin Angélique Atelier Cologne for women and men,Floral Green,Egyptian Jasmine,Angelica,Incense,Spring/Summer,Day,long lasting,heavy,3.57,209
Rose Anonyme Atelier Cologne for women and men,Oriental Floral,Turkish Rose,Agarwood (Oud),Indonesian Patchouli Leaf,All Season,All Time,moderate,moderate,3.86,828
Vanille Insensee Atelier Cologne for women and men,Woody,Vanille,Oak,Lime,Fall/Winter,Day,long lasting,moderate,3.75,1172
Vetiver Fatal Atelier Cologne for women and men,Woody Aromatic,Haitian Vetiver,Plum,Violet Leaf,Spring/Summer,Day,moderate,moderate,4.17,712
Cedre Atlas Atelier Cologne for women and men,Woody,Cedar,Lemon,Bergamot,All Season,Day,moderate,moderate,3.36,327
Citron d'Erable Atelier Cologne for women and men,Woody Aromatic,Maple sap,Lemon,Maple,All Season,Day,moderate,moderate,3.77,107
Figuier Ardent Atelier Cologne for women and men,Aromatic Spicy,Fig Leaf,Fig,Cedar,Spring/Summer,Day,moderate,moderate,3.74,265
Mandarine Glaciale Atelier Cologne for women and men,Citrus Aromatic,Mandarin Orange,Ginger,Lemon,Spring/Summer,Day,moderate,moderate,3.32,382
Sud Magnolia Atelier Cologne for women and men,Floral Woody Musk,Magnolia,Pomelo,Bitter Orange,Spring/Summer,Day,moderate,moderate,3.41,308
Musc Impérial Atelier Cologne for women and men,Woody Floral Musk,Fig,Black Currant,Calabrian bergamot,Spring/Summer,Day,moderate,heavy,4.21,195
Rendez-Vous Atelier Cologne for women and men,Floral Green,Chinese Osmanthus,Suede,Violet Leaf,All Season,All Time,long lasting,heavy,3.58,99
Sous le toit de Paris Atelier Cologne for women and men,Leather,Violet Leaf,Bergamot,Haitian Vetiver,Spring/Summer,Day,long lasting,moderate,3.44,168
Blanche Immortelle Atelier Cologne for women,Oriental Floral,Immortelle,Australian Sandalwood,Mimosa,All Season,All Time,long lasting,moderate,3.30,207
Camelia Intrepide Atelier Cologne for women and men,,Leather,Camellia,Violet Leaf,All Season,Day,moderate,heavy,3.75,91
Emeraude Agar Atelier Cologne for women and men,,Guaiac Wood,Turkish Rose,Sandalwood,All Season,All Time,long lasting,moderate,4.14,95
Gold Leather Atelier Cologne for women and men,Leather,Rum,Plum,Leather,Fall/Winter,Night,long lasting,moderate,3.70,393
Silver Iris Atelier Cologne for women and men,Oriental Floral,iris,Black Currant,Violet Leaf,All Season,Day,long lasting,moderate,3.74,412
Encens Jinhae Atelier Cologne for women and men,Oriental Floral,Turkey Red Rose,Elemi resin,Pink Pepper,All Season,Day,moderate,moderate,3.72,84
Mimosa Indigo Atelier Cologne for women and men,Leather,Leather,Mimosa,Saffron,All Season,All Time,moderate,moderate,3.51,119
Philtre Ceylan Atelier Cologne for women and men,Aromatic Fougere,Black Tea,Bergamot,Mint,Spring/Summer,Day,long lasting,heavy,3.76,133
Poivre Electrique Atelier Cologne for women and men,Woody Spicy,Black Pepper,Pink Pepper,Cedar,Fall/Winter,Day,moderate,moderate,3.50,114
Tobacco Nuit Atelier Cologne for women and men,Oriental Woody,Tobacco blossom,Cumin,Olibanum,Fall/Winter,Night,long lasting,moderate,3.94,199
1 Pulse for Her Avon for women,Floral Fruity,Violet,Pear,Sandalwood,All Season,Night,very long lasting,enormous,4.00,5
1 Pulse for Him Avon for men,Citrus Aromatic,Lavender,Cedar,Lemon,Summer,Day,weak,soft,4.33,6
50's glam Avon for women,Floral Green,Rose,Gardenia,Persimmon,Spring/Summer,Day,moderate,moderate,3.58,184
5th Avenue Avon for women,Floral,Amber,Musk,Rose,Fall/Winter,Night,moderate,moderate,3.96,30
60's Mod Avon for women,Aromatic Fruity,Black Pepper,Plum,Patchouli,Fall/Winter,Day,moderate,moderate,3.56,136
Alpha Avon for men,Woody,Brandy,Cardamon,Cedar,All Season,All Time,moderate,moderate,3.43,33
Alpha Avon for women,Floral Fruity,Raspberry,Woody Notes,Litchi,All Season,Day,moderate,moderate,3.71,44
Angélica Teen Butterfly Avon for women,Floral,Orange Blossom,Pineapple,Musk,All Season,Day,very long lasting,enormous,4.73,14
Apple Blossom Avon for women,,Apple Blossom,Green Notes,Musk,Spring,Day,long lasting,moderate,4.20,6
Aqua for Her Avon for women,Floral Aquatic,Water Notes,Fruity Notes,Blue Lotus,Summer,Day,moderate,heavy,3.50,27
Aqua for Him Avon for men,Woody Aquatic,Sea water,Musk,Geranium,Spring/Summer,Day,moderate,moderate,3.31,19
Ariane Avon for women,Floral Aldehyde,Aldehydes,Orris Root,Carnation,All Season,Day,moderate,moderate,4.05,60
Aromadisiac for Her Avon for women,Oriental Floral,Pink Pepper,White Amber,Jasmine,Fall/Winter,Night,moderate,moderate,3.20,262
Aromadisiac for Him Avon for men,Leather,Fig,Leather,Patchouli,All Season,All Time,moderate,moderate,3.11,75
Aspire Avon for women,Floral Woody Musk,Aldehydes,Jasmine,African Orange flower,Fall/Winter,All Time,long lasting,heavy,2.44,83
Aspire Debut Avon for women,,Aldehydes,iris,Jasmine,Summer,Day,moderate,moderate,4.33,6
Aspire Man (2016) Avon for men,,Bergamot,Ginger,Sandalwood,Fall,All Time,weak,moderate,3.77,14
Avon Beautiful Butterfly Avon for women,Floral Fruity,Lily-of-the-Valley,Green Apple,Nectarine,Spring/Summer,Day,moderate,moderate,3.52,29
Avon Essence Avon for men,Aromatic Fougere,Sage,Yuzu,Lavender,Spring/Summer,Day,moderate,moderate,3.24,59
Avon Jet Femme Avon for women,Floral Fruity,Grapefruit,Watermelon,Jasmine,Spring/Summer,Day,moderate,moderate,3.68,330
Avon Jet Homme Avon for men,Woody Aromatic,Incense,Mandarin Orange,Vetiver,All Season,Day,moderate,moderate,3.33,77
Avon Passion Avon for women,Oriental Floral,Bourbon Vanilla,Carambola (Star Fruit),Jasmine Sambac,Fall/Winter,Night,moderate,moderate,3.81,91
Avon Secret Fantasy Kiss Avon for women,Floral Fruity,Blackberry,Mango,Green Apple,Spring/Summer,Day,moderate,moderate,3.04,84
Avon Sensuelle Avon for women,Oriental Floral,Tahitian Gardenia,Cashmere Wood,Vanilla orchid,All Season,Day,moderate,moderate,3.64,186
Avon Smile Avon for women,Floral,Mandarin Orange,Freesia,Mimosa,Spring/Summer,Day,weak,moderate,3.58,64
Avon Sport for Her Vitality Avon for women,Floral Fruity,Green Apple,Lemon,Water Lily,Spring/Summer,Day,poor,heavy,3.50,7
Bali Bliss Avon for women,Floral Fruity,Tropical fruit,Frangipani,Woodsy Notes,Summer,Day,weak,moderate,3.66,165
Be Daring Avon for women,Floral Fruity,Bergamot,Magnolia,Musk,Spring/Summer,Day,moderate,soft,3.29,15
Be Fun Avon for women,Floral Fruity,Fruity Notes,Pear,Floral Notes,Spring/Summer,Day,weak,heavy,3.69,17
Be On Trend Avon for women,Oriental Floral,Bergamot,Amber,Cashmere Wood,Spring/Summer,All Time,long lasting,enormous,5.00,3
Be Romantic Avon for women,Floral Fruity,Rose,Black Currant,Musk,Spring/Summer,Day,weak,moderate,3.00,16
Beguiling (Breathless) Avon for women,,Ylang-Ylang,Incense,Jasmine,Fall/Winter,All Time,long lasting,heavy,4.71,8
Bird of Paradise Avon for women,Floral Green,Floral Notes,Woody Notes,Green Notes,All Season,All Time,moderate,moderate,4.37,39
Black Essential Avon for men,Woody Aromatic,Leather,Lavender,Tangerine,Fall/Winter,Night,moderate,heavy,3.40,6
Blue Escape for Her Avon for women,Floral Aquatic,Salt,Blue Lotus,Pear,Spring/Summer,Day,moderate,heavy,3.85,56
Blue Escape for Him Avon for men,Woody Aquatic,Sea Notes,Driftwood,White Musk,Summer,Day,long lasting,moderate,4.21,25
Blue Rush Avon for men,Aromatic,Watermelon,Sea Notes,Melon,Spring/Summer,Day,weak,moderate,3.71,68
Blue Rush for Her Avon for women,Floral Aquatic,Freesia Petals,Sea Salt,Curacao,Summer,Day,weak,moderate,3.84,122
Blue Rush Intense Avon for men,Aromatic Fruity,Kiwi,Water Notes,Vetiver,Spring/Summer,Day,moderate,moderate,4.03,40
Bond Girl 007 Avon for women,Floral Woody Musk,Peach,Orange Blossom,Musk,All Season,Day,moderate,moderate,3.67,372
Bond Girl 007 Forever Avon for women,Oriental Woody,Cashmere Wood,Amber,Sandalwood,Fall/Winter,Night,moderate,moderate,3.42,113
Brazil Beat Avon for women,Floral Fruity,Blood Orange,Pitahaya,Water Lily,Summer,Day,weak,moderate,4.14,8
Burning Avon for men,Aromatic Fruity,Lime,Rosemary,Basil,All Season,Day,weak,heavy,1.00,2
Burning Hot Avon for men,Aromatic Spicy,Labdanum,Lavender,Violet Leaf,Fall/Winter,Night,moderate,moderate,2.50,2
Candid Avon for women,Floral,Tuberose,Sandalwood,Oakmoss,All Season,All Time,moderate,moderate,3.34,204
Caribbean Paradise Avon for women,Oriental Floral,Mango,Hibiscus,Amber,Spring/Summer,Day,weak,moderate,3.86,25
Casbah Avon for women,Oriental Floral,Sandalwood,iris,Nutmeg,Fall/Winter,Night,moderate,heavy,4.23,91
Celebre Avon for women,Floral Fruity,Peony,Cyclamen,Fruity Notes,Spring/Summer,Day,weak,moderate,3.52,547
Celebre Ice Avon for women,Floral Fruity,Musk,Grapefruit,Green Notes,Spring/Summer,Day,moderate,moderate,2.77,34
Centre Action Avon for men,Aromatic Fougere,Grass,Water Notes,Grapefruit,Summer,Day,moderate,moderate,3.82,35
Charisma Avon for women,Floral Green,Aldehydes,Civetta,Carnation,All Season,All Time,moderate,heavy,3.65,129
Cherish Avon for women,Floral,Cherry Blossom,Jasmine Sambac,Tiare Flower,Spring/Summer,Day,moderate,moderate,3.64,120
Cherish the Moment Avon for women,,Cassis,Orchid,Champagne,All Season,Day,long lasting,moderate,3.43,35
Chic in Black Avon for women,Floral Fruity,Woodsy Notes,Floral Notes,Fruity Notes,All Season,All Time,moderate,moderate,3.69,111
City Rush for Her Avon for women,Oriental Floral,Plum,Woody Notes,Dahlia,Fall/Winter,All Time,moderate,moderate,3.99,297
City Rush for Him Avon for men,Oriental Spicy,Bourbon Pepper,Dahlia,Kashmir wood,Fall/Winter,All Time,moderate,soft,3.42,21
City Rush Glamour Avon for women,Floral,Orchid,Violet Leaf,Sandalwood,All Season,All Time,moderate,heavy,3.53,39
Class Act Avon for men,Chypre,Oakmoss,Patchouli,Basil,All Season,All Time,moderate,moderate,4.06,18
Colortrend Trendy Avon for women,Floral Fruity,Pomegranate,Tangerine,Peach,Spring/Summer,Day,weak,heavy,4.33,6
Cotillion American Belle Avon for women,Oriental Spicy,Lavender,Carnation,Vanilla,Summer,Day,poor,moderate,4.80,5
Cotillion Cologne Avon for women,Oriental Floral,Floral Notes,Spices,Sandalowood,Fall/Winter,All Time,moderate,moderate,4.10,22
Crystal Aura Avon for women,Floral Woody Musk,Carambola (Star Fruit),Osmanthus,Musk,All Season,Day,moderate,moderate,3.30,254
Dazzling Moments Avon for women,Floral Fruity,Pear,Magnolia,Light Amber,All Season,Day,weak,moderate,3.67,13
Deep Woods Avon for men,Aromatic Fougere,Patchouli,Herbal Notes,Lavender,Fall/Winter,Night,weak,moderate,3.33,4
Derek Jeter Driven Avon for men,Aromatic Fougere,Grapefruit,Spices,Oakmoss,Spring/Summer,Day,moderate,moderate,4.13,73
Derek Jeter Driven Black Avon for men,Oriental Woody,Sandalwood,Mandarin Orange,Vetiver,Fall/Winter,Night,moderate,moderate,3.95,51
Derek Jeter Driven Rush Avon for men,Woody Aromatic,Mandarin Orange,Suede,Moss,All Season,Day,moderate,heavy,4.31,13
Destination Grand Canyon Avon for men,Woody Aromatic,Cedar,Grapefruit,Flowers,All Season,Day,moderate,moderate,4.12,53
Destination Wilderness Avon for men,Woody Aromatic,Pine,Juniper,Patchouli,All Season,Day,long lasting,moderate,3.73,13
Dolce Aura Avon for women,Floral,Yellow Freesia,Pink Rose,Patchouli,All Season,All Time,long lasting,moderate,4.25,8
Dreamlife Avon for women,Woody Floral Musk,White Iris,Moroccan Mimosa,Sandalwood,All Season,Day,long lasting,heavy,3.19,199
Dreamlife Bouquet Avon for women,Floral Fruity,Freesia,Mimosa,Pink Rose,Spring/Summer,Day,moderate,heavy,3.64,44
Eau Givree Avon for women,,Citruses,Lavender,Musk,Spring/Summer,Day,poor,soft,4.50,4
Electrify Me Avon for women,Aromatic Fruity,Blueberry,Sugar,Pepper,All Season,All Time,moderate,moderate,4.08,66
Elite Gentleman Avon for men,Oriental Woody,Cognac,Cardamom,Spruce,Fall/Winter,Day,moderate,moderate,3.78,53
Elite Gentleman Untailored Avon for men,Woody Aromatic,Cypress,Cashmere Wood,Basil,Spring/Summer,Day,moderate,moderate,3.88,30
Elite Gentleman Weekend Avon for men,,Grapefruit,Italian Cypress,Cardamom,Spring/Summer,Day,weak,soft,4.00,5
Elusive Avon for women,,Spicy Notes,Smoke,Floral Notes,All Season,Day,weak,heavy,4.47,16
Emprise Avon for women,Chypre Floral,oak moss,Carnation,Bergamot,All Season,Night,long lasting,heavy,3.74,34
Energy Fusion Avon for women,,Pink Grapefruit,Jasmine,Geranium,All Season,Day,weak,soft,4.50,6
Energy Fusion for Men Avon for men,Woody Aromatic,Vetiver,Ginger,Incense,Summer,Day,weak,soft,5.00,5
Eternal Magic Avon for women,Floral,iris,Vanilla,Woody Notes,All Season,All Time,weak,moderate,3.39,513
Eternal Magic Enchanted Avon for women,Aromatic Fruity,Raspberry,Violet Leaf,Cashmere Wood,Spring/Summer,Day,moderate,moderate,3.57,158
Evermore Avon for women,Floral Woody Musk,Amber,Musk,Ylang-Ylang,All Season,All Time,very long lasting,heavy,3.45,12
Exclusive Avon for men,Aromatic Fougere,Herbal Notes,Rosemary,Sandalwood,All Season,All Time,weak,moderate,4.17,8
Exclusive in Blue Avon for men,Woody Aromatic,Green Notes,violet leaves,Woody Notes,All Season,All Time,moderate,moderate,4.00,1
Exotic Beaches Avon for women,Floral Aquatic,African Orange flower,Sea water,Mandarin Orange,Summer,Day,weak,soft,3.27,91
Exotic Waters Avon for women,Floral Green,Melon,Mandarin Orange,Fruity Notes,Spring/Summer,Day,weak,moderate,3.82,15
Exploration Avon for men,Aromatic Aquatic,Aloe Vera,Sage,Grapefruit,Spring/Summer,Day,weak,moderate,3.46,14
Extraordinary Avon for women,Oriental Floral,Dark Chocolate,Pepper,Ginger,Fall/Winter,All Time,moderate,moderate,3.75,474
Facets Avon for women,Chypre Floral,Tuberose,Jasmine,French labdanum,Fall/Winter,All Time,moderate,moderate,3.96,58
Fiji Paradise Avon for women,Floral Fruity,Coconut,Tiare Flower,White Musk,Summer,Day,moderate,moderate,3.33,26
Fire Me Up Avon for women,Citrus Aromatic,Blood Orange,Red Amber,Cherry,Spring/Summer,Day,moderate,moderate,3.18,178
Fleur Avon for women,Floral Fruity,Mango,Passion Flower,Mandarin Orange,Spring/Summer,Day,moderate,moderate,3.54,47
Flor Alegria Avon for women,Floral Fruity,Passionfruit,iris,Bulgarian Rose,Spring/Summer,Day,moderate,moderate,3.84,37
Floralique Avon for women,Floral,Pineapple,Jasmine,Gardenia,Spring,Night,weak,soft,3.33,3
For You by One Direction Avon for women,Floral Fruity Gourmand,White Chocolate,Red Berries,Sandalwood,Spring/Summer,All Time,long lasting,enormous,3.20,9
Forest Lily Avon for women,Floral,Lily-of-the-Valley,Ylang-Ylang,Sandalwood,Spring/Summer,Day,moderate,moderate,4.15,30
Foxfire Avon for women,Oriental Floral,Green Notes,Rose,Jasmine,Spring/Summer,All Time,long lasting,moderate,4.17,27
Free for Her Avon for women,Oriental Floral,Magnolia,Pear,Amber,All Season,All Time,moderate,moderate,3.25,13
Free for Him Avon for men,Aromatic Fougere,Violet Leaf,Ginger,Ambergris,All Season,Day,moderate,heavy,4.00,10
